id;title;description_RU;description_EN;
Intro;Новоселье;По окрестностям ползет слушок, что в старом домике на краю леса поселилась ведьма. Люди гадают, задержится ли она здесь надолго или ее постигнет судьба предшественниц?;Rumors say a witch moved into the old hut on the edge of the forest. People are wondering how long she is going to stay – and if she’ll share the fate of the previous ones.;
Laughter3;;Вся округа сотрясается от смеха, кажется, жить все веселее… Или же безумие расползается по окрестностям и люди смеются даже сквозь слезы?;The village is alive with laughter and life has never looked better – or maybe everyone has finally snapped.;
Wrong2;;Крестьяне презрительно отзываются о ваших способностях. Говорят, вы не можете правильно сварить ни одного зелья. Что ж, если есть цель избавиться от чужого внимания, то продавать бесполезное варево весьма разумно.;The peasants are dismissing  you as a fraud: 'It's all mixed up all right. In her head they scoff.' Maybe this is a good thing – if you want to keep a low profile, that is.;
Love3;;Любовь не всегда бывает взаимной. Уже несколько счастливых браков разрушилось – и поговаривают, что это ваша вина.;Love is a strange thing. Seemingly happy couples fall apart – and they blame you for that. ;
Healing5;;Ведьмы редко славятся сердобольностью. Вы – исключение. Теперь даже из далеких городов приезжают люди, чтобы вы исцелили их.;Witches are seldom known for their kindness, but you've broken the mold. City folk now start coming to your neck of the woods seeking cures for their maladies.;
Wrong1;;Люди фыркают и поджимают губы, когда слышат ваше имя – зелья им не помогают. Кто-то даже грозился отнести одно из них на проверку к дворцовому лекарю. ;People are snorting and making faces when they hear your name – your potions aren’t helping them one bit. Someone has suggested taking one to the castle healer for testing.;
Poison3;;Странных смертей в здешних краях стало слишком много, и люди начали волноваться. Страх – не самый надежный, но все же союзник ведьмы. Нужно лишь научиться использовать его разумно…;People are unsettled by all the strange and sudden deaths that have been happened lately. Fear is an uncertain ally – but an ally still. You just need to learn how to use it right...;
Placebo3;;По округе ходят слухи, что вы просто травница, которая прикидывается ведьмой.;Word is getting around that your remedies aren't really magical and that you're just an herbalist passing herself off as a real witch.;
Memory3;;Люди жалуются на проблемы с памятью. Говорят, один пастух даже забыл дома свою голову! Но стоит ли верить подобным сплетням?;People are getting strangely forgetful. They say one lad forgot his head going home today because it wasn't nailed down – can you believe that?;
Poison5;;Смертей становится больше. Вместе с ними – страха и недовольства. Кажется, местные земледельцы уже пытаются найти и наказать виновного…;Deaths are rising steeply; Fear and anger follow. The locals are starting to look for a culprit – but a scapegoat will do too!;
